Wavelength (nm),Transmitance (%)
350,38.43
400,85.39
450,86.86
500,85.12
550,88.96
600,89.12
650,87.01
700,84.12
750,73.6
800,61.44
850,44.32
900,30.32
950,16.49
1000,5.67
1050,1.56
1100,0.35
