Wavelength,Transmitance
(nm),(%)
350.0,38.43
400.0,85.39
450.0,86.86
500.0,85.12
550.0,88.96
600.0,89.12
650.0,87.01
700.0,84.12
750.0,73.6
800.0,61.44
850.0,44.32
900.0,30.32
950.0,16.49
1000.0,5.67
1050.0,1.56
1100.0,0.35
